UNIDADE;INSPECAO;Grupo;ITEM
3300153;300012023;243;1
3300153;300012023;243;2
3300153;300012023;243;3
3300145;300062023;243;2
3300137;300072023;243;2
3300137;300072023;243;3
3429386;300082023;646;2
3300200;300092023;243;3
4300068;400022023;243;3
4300645;400042023;243;2
4300645;400042023;243;3
4300505;400102023;243;3
4300238;400112023;243;3
4300726;400122023;243;3
4300670;400172023;243;1
4300602;400212023;243;2
4001863;400222023;646;3
4001862;400252023;646;2
4033495;400272023;646;2
4001866;400302023;646;2
4300777;400312023;243;2
4300521;400322023;243;2
4300521;400322023;243;3
4300513;400332023;243;2
4300572;400342023;243;2
4300661;400352023;243;3
4300483;400362023;243;2
4300556;400392023;243;2
4300467;400402023;243;2
4300076;400432023;243;3
5300100;500022023;243;2
5055311;500072023;646;2
6300405;600012023;243;1
6300405;600012023;243;3
6300138;600022023;243;1
6300138;600022023;243;2
6300669;600042023;243;1
6300669;600042023;243;2
6300669;600042023;243;3
6300324;600062023;243;1
6300201;600082023;243;2
6300201;600082023;243;3
6300561;600092023;243;1
6300561;600092023;243;3
6300421;600102023;243;2
6300421;600102023;243;3
6300537;600112023;243;2
6300537;600112023;243;3
6002288;600152023;646;1
6002288;600152023;646;2
6300570;600172023;243;1
6300570;600172023;243;2
6300570;600172023;243;3
6300090;600182023;243;3
6002295;600212023;646;3
6002294;600222023;646;1
6002294;600222023;646;2
8003109;800012023;646;2
8003108;800072023;646;2
8055895;800082023;646;2
8049348;800102023;646;3
8003113;800112023;646;2
8055886;800152023;646;2
8003102;800162023;646;2
8003095;800182023;646;1
8003095;800182023;646;2
8033592;800222023;646;2
8045935;800252023;646;1
8045935;800252023;646;2
8301808;800272023;243;2
8301808;800272023;243;3
8300623;800282023;243;3
8058045;800292023;646;2
8305561;800312023;243;1
8300551;800322023;243;3
8301107;800352023;243;1
8300755;800362023;243;2
8301913;800392023;243;2
8301646;800462023;243;2
8301646;800462023;243;3
8058048;800472023;646;2
8301786;800482023;243;3
8301590;800492023;243;2
8301590;800492023;243;3
8300968;800532023;243;3
8049549;800642023;646;2
8033591;800682023;646;1
8033591;800682023;646;2
8300615;800702023;243;3
8301042;800712023;243;1
8301875;800722023;243;3
8300470;800752023;243;3
8300330;800802023;243;3
8433680;800852023;646;1
8303657;800862023;243;2
8300348;800912023;243;1
8300348;800912023;243;3
8301221;800972023;243;3
8302634;800992023;243;3
8049548;801012023;646;2
8049548;801012023;646;3
8062136;801022023;646;2
8300046;801082023;243;2
8300291;801142023;243;3
8003104;801522023;646;2
8302189;801602023;243;2
8302189;801602023;243;3
10004252;1000042023;646;2
10004237;1000062023;646;1
10004237;1000062023;646;2
10059493;1000102023;646;2
10047001;1000112023;646;2
10004242;1000122023;646;1
10004242;1000122023;646;2
10004242;1000122023;646;3
10061294;1000132023;646;2
10004245;1000142023;646;2
10004253;1000152023;646;1
10004253;1000152023;646;2
10004253;1000152023;646;3
10004244;1000182023;646;2
10055655;1000202023;646;2
10055655;1000202023;646;3
10059093;1000212023;646;2
10059092;1000302023;646;1
10059092;1000302023;646;2
10436580;1000312023;646;2
10436578;1000322023;646;2
10059600;1000332023;646;2
10004236;1000342023;646;2
10004236;1000342023;646;3
10436576;1000352023;646;1
10436576;1000352023;646;2
10004243;1000382023;646;2
10436554;1000412023;243;1
10436554;1000412023;243;2
10436559;1000422023;243;2
10004248;1000472023;646;1
10300104;1000482023;243;2
12300837;1200012023;243;3
12300454;1200062023;243;3
12300667;1200072023;243;2
12300586;1200092023;243;2
12300586;1200092023;243;3
12004846;1200132023;646;1
12004846;1200132023;646;2
12004851;1200142023;646;2
12004855;1200162023;646;3
12004856;1200172023;646;2
12300365;1200182023;243;3
12301655;1200192023;243;3
12301159;1200222023;243;3
12300918;1200232023;243;2
12300519;1200242023;243;1
12301167;1200252023;243;3
12300438;1200262023;243;1
12300438;1200262023;243;2
12300438;1200262023;243;3
12029304;1200272023;646;1
12029304;1200272023;646;2
12300390;1200302023;243;2
12300390;1200302023;243;3
